kafka3-1  | [2026-03-17 04:56:17,684] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Member 7930b6c1-0f92-43e0-aa94-620d6f650d63 fenced from the group because the member session expired. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:17,684] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Bumped group epoch to 6 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:17,959] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Member 12853dfe-74c5-4a8f-992c-58c2cd54da28 fenced from the group because the member session expired. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:17,959] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Bumped group epoch to 7 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:18,058] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Member 2d65a570-e1fe-4b25-a526-8bb2ac710e66 fenced from the group because the member session expired. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:18,058] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Bumped group epoch to 7 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:18,152] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Member 26e771ef-ff05-4248-a562-e89471386eaa fenced from the group because the member session expired. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:18,152] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Bumped group epoch to 4 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:18,759] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Computed a new target assignment for epoch 7 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:18,761] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Computed a new target assignment for epoch 7 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:19,259] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:19,665] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Member a6f2af21-11be-493c-b707-f80167ccde8c joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
