kafka2-1  | [2026-03-17 05:57:36,502] INFO [LocalLog partition=94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8, dir=/tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8] Deleting segment files LogSegment(baseOffset=0, size=7498, lastModifiedTime=1773723396028, largestRecordTimestamp=1773723396027) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:36,503] INFO Deleted log /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:36,503] INFO Deleted offset index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:36,503] INFO Deleted time index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka3-1  | [2026-03-17 05:57:36,547] INFO [LocalLog partition=94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8, dir=/tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8] Deleting segment files LogSegment(baseOffset=0, size=7498, lastModifiedTime=1773723396027, largestRecordTimestamp=1773723396027) (org.apache.kafka.storage.internals.log.LocalLog)
kafka3-1  | [2026-03-17 05:57:36,547] INFO Deleted log /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka3-1  | [2026-03-17 05:57:36,547] INFO Deleted offset index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka3-1  | [2026-03-17 05:57:36,547] INFO Deleted time index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-8/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,500] INFO [LocalLog partition=F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-1, dir=/tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-1] Deleting segment files LogSegment(baseOffset=0, size=35555, lastModifiedTime=1773723400398, largestRecordTimestamp=1773723398623) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,501] INFO Deleted log /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-1/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,501] INFO Deleted offset index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-1/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,501] INFO Deleted time index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-1/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,502] INFO [LocalLog partition=CEFE13AF09582CDAC265093F74ED2461CB3F2B4DE39E03A546BC917250E4-0, dir=/tmp/kafka-logs/CEFE13AF09582CDAC265093F74ED2461CB3F2B4DE39E03A546BC917250E4-0] Deleting segment files LogSegment(baseOffset=0, size=1011234, lastModifiedTime=1773723400343, largestRecordTimestamp=1773723400069) (org.apache.kafka.storage.internals.log.LocalLog)
