kafka1-1  | [2026-03-17 06:12:01,208] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 2F78_SimulatorGroup5] Member 6060fd06-b015-4261-90f6-7ccaa305b481 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 06:12:01,208] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 2F78_SimulatorGroup5] Bumped group epoch to 4 with metadata hash -3800236046197572934. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 06:12:01,208] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 2F78_SimulatorGroup5] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 06:12:01,223] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 2F78_SimulatorGroup5] Member 65e581a0-b93a-4c87-b403-43b18add251f joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 06:12:01,223] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 2F78_SimulatorGroup5] Bumped group epoch to 5 with metadata hash -3800236046197572934. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 06:12:01,224] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 2F78_SimulatorGroup5] Computed a new target assignment for epoch 5 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:12:11,360] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=30] [GroupId 49B6_SimulatorGroup1] Member 0cbd8963-11e4-4b8a-b31d-2329e211a320 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:12:11,360] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=30] [GroupId 49B6_SimulatorGroup1] Bumped group epoch to 8 with metadata hash -3800236046197572934. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:12:11,360] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=30] [GroupId 49B6_SimulatorGroup1] Computed a new target assignment for epoch 8 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:12:11,382] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=30] [GroupId 49B6_SimulatorGroup1] Member e720edb6-f5aa-4a50-8fd6-54ac6f0f29f7 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:12:11,383] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=30] [GroupId 49B6_SimulatorGroup1] Bumped group epoch to 9 with metadata hash -3800236046197572934. (org.apache.kafka.coordinator.group.GroupMetadataManager)
