kafka3-1  | [2026-03-17 06:28:20,466] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Member cff9c63e-580a-4f98-890a-2d950fed3f8e joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,466] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Bumped group epoch to 1 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,467] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,471] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Member c727af6f-a461-4f0e-9c58-bb148df9f1cd joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,472] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Bumped group epoch to 2 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,472] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,477] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Member 6858c3eb-5ff2-4ce1-8841-b86d1b41ac5f joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,477] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Bumped group epoch to 3 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,477] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,487] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Member 73ebda92-f66a-45d3-a499-38b9e48ea217 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,487] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Bumped group epoch to 4 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,487] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,495] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Member b7b40d3e-ce5d-41e5-a7aa-a6480e2271d8 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,496] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Bumped group epoch to 5 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,496] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Computed a new target assignment for epoch 5 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,506] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Member 92355bfc-2bac-4a3f-ab7a-0428f3f78dc0 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,506] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Bumped group epoch to 6 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,507] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=4] [GroupId 8D10_SimulatorGroup1] Computed a new target assignment for epoch 6 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,564] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Member e1dd7648-dc9e-46e5-b0da-d21665972501 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,565] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Bumped group epoch to 1 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,565] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,573] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Member 74558dae-235b-4cac-ae64-24c93a335808 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,573] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Bumped group epoch to 2 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,573] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,576] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Member 1f87f9d6-de54-4c44-b8e9-1e394b313afb joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,576] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Bumped group epoch to 3 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,576] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,586] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Member 80905b5e-8b02-4073-ab9f-77936a995680 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,587] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Bumped group epoch to 4 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 06:28:20,587] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=31] [GroupId 73B2_SimulatorGroup3] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,508] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Member 1dcde436-69ac-465a-8ed9-7cc0617f2825 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,508] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Bumped group epoch to 1 with metadata hash 2018916817827611278. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,509] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Computed a new target assignment for epoch 1 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 06:28:20,517] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=2] [GroupId 3038_SimulatorGroup2] Member 9f789f46-82dd-4641-849f-9f3b95e17b52 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
