kafka1-1  | [2026-03-17 09:31:44,000] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=32] [GroupId A3EF_SimulatorGroup3] Member 3055f268-8183-401d-a30b-cb2418978d49 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:31:44,000] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=32] [GroupId A3EF_SimulatorGroup3] Bumped group epoch to 6 with metadata hash -8904755969788729077. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:31:44,001] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=32] [GroupId A3EF_SimulatorGroup3] Computed a new target assignment for epoch 6 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 09:31:56,511] INFO [LocalLog partition=9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-2, dir=/tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-2] Deleting segment files LogSegment(baseOffset=0, size=16964626, lastModifiedTime=1773736255908, largestRecordTimestamp=1773736255908) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:31:56,515] INFO Deleted log /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-2/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,516] INFO [LocalLog partition=9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-1, dir=/tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-1] Deleting segment files LogSegment(baseOffset=0, size=16882018, lastModifiedTime=1773736256027, largestRecordTimestamp=1773736255947) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:31:56,516] INFO Deleted offset index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-2/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,517] INFO Deleted time index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-2/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,517] INFO Deleted log /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-1/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,517] INFO Deleted offset index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-1/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 09:31:56,517] INFO Deleted time index /tmp/kafka-logs/9B73C2E00C0FAD0EEBF6E3D176462204058AA852B74AB876EB0F986A22A4-1/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
