kafka1-1  | [2026-03-17 09:35:27,013] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Member fe011c63-b992-4ad4-aaaf-872fad769a59 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:27,014] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Bumped group epoch to 5 with metadata hash -5430622708718279693. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:27,014] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Computed a new target assignment for epoch 5 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:27,032] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Member e5e4a972-1a94-4331-a887-e4d21347d285 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:27,032] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Bumped group epoch to 6 with metadata hash -5430622708718279693. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:27,032] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Computed a new target assignment for epoch 6 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:31,968] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Member f091bb17-71ca-418e-8776-d7f6200ef3cc fenced from the group because the member session expired. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:31,968] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Bumped group epoch to 7 with metadata hash -5430622708718279693. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:33,021] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Computed a new target assignment for epoch 7 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:37,095] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Member 7c0a1094-e538-4e6b-8a8a-82f1da3ffe1a joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:37,096] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Bumped group epoch to 8 with metadata hash -5430622708718279693. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 09:35:37,096] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=18] [GroupId 041A_SimulatorGroup4] Computed a new target assignment for epoch 8 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 09:40:23,885] INFO [NodeToControllerChannelManager id=4 name=forwarding] Node 1 disconnected. (org.apache.kafka.clients.NetworkClient)
kafka2-1  | [2026-03-17 09:42:06,504] INFO [LocalLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-0, dir=/tmp/kafka-logs/EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-0] Rolled new log segment at offset 16866 in 4 ms. (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:42:06,504] INFO [ProducerStateManager partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-0] Wrote producer snapshot at offset 16866 with 2 producer ids in 1 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka2-1  | [2026-03-17 09:42:06,504] INFO [UnifiedLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-0, dir=/tmp/kafka-logs] Incremented log start offset to 16866 due to segment deletion (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,504] INFO [UnifiedLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-0, dir=/tmp/kafka-logs] Deleting segment LogSegment(baseOffset=0, size=19494223, lastModifiedTime=1773736921579, largestRecordTimestamp=1773736921564) due to log retention time 3600000ms breach based on the largest record timestamp in the segment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,508] INFO [LocalLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-1, dir=/tmp/kafka-logs/EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-1] Rolled new log segment at offset 17007 in 4 ms. (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:42:06,508] INFO [ProducerStateManager partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-1] Wrote producer snapshot at offset 17007 with 2 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka2-1  | [2026-03-17 09:42:06,508] INFO [UnifiedLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-1, dir=/tmp/kafka-logs] Incremented log start offset to 17007 due to segment deletion (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,508] INFO [UnifiedLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-1, dir=/tmp/kafka-logs] Deleting segment LogSegment(baseOffset=0, size=19651726, lastModifiedTime=1773736921564, largestRecordTimestamp=1773736921564) due to log retention time 3600000ms breach based on the largest record timestamp in the segment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,512] INFO [LocalLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-3, dir=/tmp/kafka-logs/EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-3] Rolled new log segment at offset 16747 in 4 ms. (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:42:06,512] INFO [ProducerStateManager partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-3] Wrote producer snapshot at offset 16747 with 2 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka2-1  | [2026-03-17 09:42:06,512] INFO [UnifiedLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-3, dir=/tmp/kafka-logs] Incremented log start offset to 16747 due to segment deletion (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,512] INFO [UnifiedLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-3, dir=/tmp/kafka-logs] Deleting segment LogSegment(baseOffset=0, size=19353209, lastModifiedTime=1773736921533, largestRecordTimestamp=1773736921534) due to log retention time 3600000ms breach based on the largest record timestamp in the segment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,517] INFO [LocalLog partition=D7993110C083D266482BE67DEFC92134B41060E038C74ECC500867A53147-0, dir=/tmp/kafka-logs/D7993110C083D266482BE67DEFC92134B41060E038C74ECC500867A53147-0] Rolled new log segment at offset 94520 in 4 ms. (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:42:06,517] INFO [ProducerStateManager partition=D7993110C083D266482BE67DEFC92134B41060E038C74ECC500867A53147-0] Wrote producer snapshot at offset 94520 with 2 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka2-1  | [2026-03-17 09:42:06,518] INFO [UnifiedLog partition=D7993110C083D266482BE67DEFC92134B41060E038C74ECC500867A53147-0, dir=/tmp/kafka-logs] Incremented log start offset to 94520 due to segment deletion (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,518] INFO [UnifiedLog partition=D7993110C083D266482BE67DEFC92134B41060E038C74ECC500867A53147-0, dir=/tmp/kafka-logs] Deleting segment LogSegment(baseOffset=0, size=107451867, lastModifiedTime=1773736922017, largestRecordTimestamp=1773736921835) due to log retention time 3600000ms breach based on the largest record timestamp in the segment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka1-1  | [2026-03-17 09:42:06,524] INFO [UnifiedLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-3, dir=/tmp/kafka-logs] Incremented log start offset to 16747 due to leader offset increment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,526] INFO [LocalLog partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-0, dir=/tmp/kafka-logs/42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-0] Rolled new log segment at offset 30933 in 4 ms. (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:42:06,526] INFO [ProducerStateManager partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-0] Wrote producer snapshot at offset 30933 with 2 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka2-1  | [2026-03-17 09:42:06,526] INFO [UnifiedLog partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-0, dir=/tmp/kafka-logs] Incremented log start offset to 30933 due to segment deletion (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,527] INFO [UnifiedLog partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-0, dir=/tmp/kafka-logs] Deleting segment LogSegment(baseOffset=0, size=35495823, lastModifiedTime=1773736922017, largestRecordTimestamp=1773736921548) due to log retention time 3600000ms breach based on the largest record timestamp in the segment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 09:42:06,527] INFO [UnifiedLog partition=EF1BEB68EFD52B00B9DBD8CC85DDE0B1A405A36680B245E79C426488D395-1, dir=/tmp/kafka-logs] Incremented log start offset to 17007 due to leader offset increment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 09:42:06,527] INFO [UnifiedLog partition=D7993110C083D266482BE67DEFC92134B41060E038C74ECC500867A53147-0, dir=/tmp/kafka-logs] Incremented log start offset to 94520 due to leader offset increment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,531] INFO [LocalLog partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-4, dir=/tmp/kafka-logs/42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-4] Rolled new log segment at offset 30786 in 4 ms. (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:42:06,531] INFO [ProducerStateManager partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-4] Wrote producer snapshot at offset 30786 with 2 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka2-1  | [2026-03-17 09:42:06,531] INFO [UnifiedLog partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-4, dir=/tmp/kafka-logs] Incremented log start offset to 30786 due to segment deletion (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,531] INFO [UnifiedLog partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-4, dir=/tmp/kafka-logs] Deleting segment LogSegment(baseOffset=0, size=35334786, lastModifiedTime=1773736921467, largestRecordTimestamp=1773736921468) due to log retention time 3600000ms breach based on the largest record timestamp in the segment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 09:42:06,533] INFO [UnifiedLog partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-0, dir=/tmp/kafka-logs] Incremented log start offset to 30933 due to leader offset increment (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 09:42:06,536] INFO [LocalLog partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-3, dir=/tmp/kafka-logs/42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-3] Rolled new log segment at offset 30617 in 5 ms. (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 09:42:06,536] INFO [ProducerStateManager partition=42881F5A88DB3733BA2041342647032889454D40315D25F5E7B166A88958-3] Wrote producer snapshot at offset 30617 with 2 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
