kafka3-1  | [2026-03-17 13:16:42,423] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Member 164b0dbb-5e4f-49a0-bbd5-cb2767701f95 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,424] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Bumped group epoch to 1 with metadata hash -4292939485654565950. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,425] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,426] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Member 2f58b303-0458-4466-824f-b2b41ae0afbc joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,426] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Bumped group epoch to 2 with metadata hash -4292939485654565950. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,427] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Computed a new target assignment for epoch 2 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,456] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Member 9cfc83d8-6f6c-44dd-b288-1110591980fe joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,456] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Bumped group epoch to 3 with metadata hash -4292939485654565950. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,457] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Computed a new target assignment for epoch 3 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,504] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Member 777f79fd-45d2-45d9-93eb-b531dad4a38d joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,505] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Bumped group epoch to 4 with metadata hash -4292939485654565950. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 13:16:42,506] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId D522_SimulatorGroup2] Computed a new target assignment for epoch 4 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 13:16:42,327] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=48] [GroupId 2EC9_SimulatorGroup1] Member 0567b47e-e6fa-4108-a824-1114fde64ad2 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 13:16:42,328] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=48] [GroupId 2EC9_SimulatorGroup1] Bumped group epoch to 1 with metadata hash -4292939485654565950. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 13:16:42,328] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=48] [GroupId 2EC9_SimulatorGroup1] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
