kafka1-1  | [2026-03-17 13:48:25,437] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=37] [GroupId 1133_SimulatorGroup5] Member 85509f8e-af53-44f1-b947-03a01bad39b9 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 13:48:25,438] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=37] [GroupId 1133_SimulatorGroup5] Bumped group epoch to 2 with metadata hash -8243095622239963229. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 13:48:25,438] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=37] [GroupId 1133_SimulatorGroup5] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 13:48:25,469] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=37] [GroupId 1133_SimulatorGroup5] Member 67392472-f278-461e-88bd-a7cc1f651946 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 13:48:25,469] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=37] [GroupId 1133_SimulatorGroup5] Bumped group epoch to 3 with metadata hash -8243095622239963229. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 13:48:25,470] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=37] [GroupId 1133_SimulatorGroup5] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 13:48:25,865] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=48] [GroupId 89F9_SimulatorGroup4] Member 2f7b013e-cee3-4c11-a4f2-67b4b4f5ed79 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 13:48:25,866] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=48] [GroupId 89F9_SimulatorGroup4] Bumped group epoch to 4 with metadata hash -8243095622239963229. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 13:48:25,866] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=48] [GroupId 89F9_SimulatorGroup4] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 13:48:26,504] INFO [LocalLog partition=60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-6, dir=/tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-6] Deleting segment files LogSegment(baseOffset=0, size=10367944, lastModifiedTime=1773751638500, largestRecordTimestamp=1773751638494) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,504] INFO Deleted log /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-6/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,505] INFO Deleted offset index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-6/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,505] INFO Deleted time index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-6/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,505] INFO [LocalLog partition=60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-5, dir=/tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-5] Deleting segment files LogSegment(baseOffset=0, size=10435950, lastModifiedTime=1773751638546, largestRecordTimestamp=1773751638495) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,506] INFO Deleted log /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-5/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,506] INFO Deleted offset index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-5/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,506] INFO Deleted time index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-5/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,510] INFO [LocalLog partition=60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-2, dir=/tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-2] Deleting segment files LogSegment(baseOffset=0, size=10366974, lastModifiedTime=1773751638500, largestRecordTimestamp=1773751638494) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,510] INFO Deleted log /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-2/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,510] INFO Deleted offset index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-2/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,510] INFO Deleted time index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-2/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,511] INFO [LocalLog partition=60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-3, dir=/tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-3] Deleting segment files LogSegment(baseOffset=0, size=10375364, lastModifiedTime=1773751638464, largestRecordTimestamp=1773751638463) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,512] INFO Deleted log /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-3/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,512] INFO Deleted offset index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-3/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,512] INFO Deleted time index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-3/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,516] INFO [LocalLog partition=60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-0, dir=/tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-0] Deleting segment files LogSegment(baseOffset=0, size=10333789, lastModifiedTime=1773751638509, largestRecordTimestamp=1773751638494) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,516] INFO Deleted log /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-0/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,516] INFO Deleted offset index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-0/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,516] INFO Deleted time index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-0/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,531] INFO [LocalLog partition=F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-3, dir=/tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-3] Deleting segment files LogSegment(baseOffset=0, size=6470941, lastModifiedTime=1773751639067, largestRecordTimestamp=1773751638526) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,531] INFO Deleted log /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-3/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,532] INFO Deleted offset index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-3/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,532] INFO Deleted time index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-3/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,536] INFO [LocalLog partition=F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-2, dir=/tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-2] Deleting segment files LogSegment(baseOffset=0, size=6479830, lastModifiedTime=1773751639067, largestRecordTimestamp=1773751638526) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,536] INFO Deleted log /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-2/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,536] INFO Deleted offset index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-2/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,536] INFO Deleted time index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-2/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,538] INFO [LocalLog partition=F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-5, dir=/tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-5] Deleting segment files LogSegment(baseOffset=0, size=6442592, lastModifiedTime=1773751638546, largestRecordTimestamp=1773751638526) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,538] INFO Deleted log /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-5/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,538] INFO Deleted offset index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-5/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,538] INFO Deleted time index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-5/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,540] INFO [LocalLog partition=F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-1, dir=/tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-1] Deleting segment files LogSegment(baseOffset=0, size=6406676, lastModifiedTime=1773751643543, largestRecordTimestamp=1773751638507) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,541] INFO Deleted log /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-1/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,541] INFO Deleted offset index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-1/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,541] INFO Deleted time index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-1/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,545] INFO [LocalLog partition=F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-10, dir=/tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-10] Deleting segment files LogSegment(baseOffset=0, size=6356295, lastModifiedTime=1773751639067, largestRecordTimestamp=1773751638507) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,546] INFO Deleted log /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-10/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,546] INFO Deleted offset index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-10/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,546] INFO Deleted time index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-10/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,548] INFO [LocalLog partition=F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-7, dir=/tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-7] Deleting segment files LogSegment(baseOffset=0, size=6388718, lastModifiedTime=1773751639067, largestRecordTimestamp=1773751638526) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,549] INFO Deleted log /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-7/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,549] INFO Deleted offset index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-7/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,549] INFO Deleted time index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-7/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,550] INFO [LocalLog partition=F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-6, dir=/tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-6] Deleting segment files LogSegment(baseOffset=0, size=6464567, lastModifiedTime=1773751643554, largestRecordTimestamp=1773751638526) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 13:48:26,551] INFO Deleted log /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-6/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,551] INFO Deleted offset index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-6/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 13:48:26,551] INFO Deleted time index /tmp/kafka-logs/F283569DC738CDCD54F4EF6FA8682421BDC25CE4863716A9D88EF13C5E54-6/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka3-1  | [2026-03-17 13:48:26,553] INFO [LocalLog partition=60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-4, dir=/tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-4] Deleting segment files LogSegment(baseOffset=0, size=10306709, lastModifiedTime=1773751638498, largestRecordTimestamp=1773751638494) (org.apache.kafka.storage.internals.log.LocalLog)
kafka3-1  | [2026-03-17 13:48:26,553] INFO [LocalLog partition=60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-5, dir=/tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-5] Deleting segment files LogSegment(baseOffset=0, size=10435950, lastModifiedTime=1773751638542, largestRecordTimestamp=1773751638495) (org.apache.kafka.storage.internals.log.LocalLog)
kafka3-1  | [2026-03-17 13:48:26,553] INFO Deleted log /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-4/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka3-1  | [2026-03-17 13:48:26,553] INFO Deleted offset index /tmp/kafka-logs/60315658EE99D3C3E7E95B510EF5711E0B441B7E2ADFC9B7D1ED02D2BBB3-4/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
