kafka3-1  | [2026-03-17 16:22:16,289] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Member 2c4a43a3-b348-4dbe-9795-04402ce25b90 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:22:16,290] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Bumped group epoch to 1 with metadata hash -5183146539323818200. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:22:16,290] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:22:16,350] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Member 1a72f0ce-9a8f-48a3-b3ff-06a2634322ec joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:22:16,350] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Bumped group epoch to 2 with metadata hash -5183146539323818200. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:22:16,350] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:22:16,373] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Member cd21b3f8-5ba2-47ef-a4ca-7b2e6e8f1cf1 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:22:16,373] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Bumped group epoch to 3 with metadata hash -5183146539323818200. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:22:16,373] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=45] [GroupId 9260_SimulatorGroup2] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,207] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Member c74c44c7-5e11-4258-b220-0fca36fbf67b joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,208] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Bumped group epoch to 1 with metadata hash -5183146539323818200. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,209] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,209] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Member 79d8d0cd-4fb9-4d64-87dd-996d250e8a72 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,210] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Bumped group epoch to 2 with metadata hash -5183146539323818200. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,210] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,264] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Member d4c9cd35-404e-4ed6-9ec8-56adaa577767 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,265] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Bumped group epoch to 3 with metadata hash -5183146539323818200. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,265] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,266] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Member e7e40419-81cd-4564-aa81-417107b46bcd joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,266] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Bumped group epoch to 4 with metadata hash -5183146539323818200. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,266] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:22:16,288] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 60D6_SimulatorGroup1] Member 1e2864c5-09c8-42fa-9b0b-0bf40ef6418d joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
