kafka1-1  | [2026-03-17 16:25:11,032] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Member d6a2dcae-7ea7-43b0-8923-fd4c0201ae5a joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,033] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Bumped group epoch to 1 with metadata hash 7700156701945405919. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,033] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,094] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Member b334eb20-081e-48a2-8ddf-3c0e2fb633f9 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,095] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Bumped group epoch to 2 with metadata hash 7700156701945405919. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,095] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,127] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Member d7becdd5-c625-4240-a2e8-10ba49517bb1 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,127] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Bumped group epoch to 3 with metadata hash 7700156701945405919. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,127] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,150] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Member 7bf5268a-6cc8-4cd4-80fa-f00b2ef80b22 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,151] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Bumped group epoch to 4 with metadata hash 7700156701945405919. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,151] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,175] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Member 4f11cd11-3942-49c4-9f40-e6c2825bcc91 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,175] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Bumped group epoch to 5 with metadata hash 7700156701945405919. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 16:25:11,176] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=29] [GroupId 0E52_SimulatorGroup3] Computed a new target assignment for epoch 5 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:25:11,205] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=46] [GroupId DBAE_SimulatorGroup4] Member b5a964c2-c3d0-4134-937c-7e5ff08f2cf0 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:25:11,206] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=46] [GroupId DBAE_SimulatorGroup4] Bumped group epoch to 1 with metadata hash 7700156701945405919. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:25:11,207] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=46] [GroupId DBAE_SimulatorGroup4] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:25:11,240] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=46] [GroupId DBAE_SimulatorGroup4] Member 0cea82e6-45ac-4619-991e-1d42be3c9ee3 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:25:11,241] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=46] [GroupId DBAE_SimulatorGroup4] Bumped group epoch to 2 with metadata hash 7700156701945405919. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:25:11,241] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=46] [GroupId DBAE_SimulatorGroup4] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
