kafka2-1  | [2026-03-17 16:54:57,899] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=39] [GroupId B855_SimulatorGroup3] Member 148523bc-0d46-4e84-a9ce-fab75c1c88d7 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:54:57,900] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=39] [GroupId B855_SimulatorGroup3] Bumped group epoch to 3 with metadata hash -51142382996830267. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:54:57,901] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=39] [GroupId B855_SimulatorGroup3] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:55:46,506] INFO [LocalLog partition=35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-5, dir=/tmp/kafka-logs/35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-5] Deleting segment files LogSegment(baseOffset=0, size=1173766, lastModifiedTime=1773762879776, largestRecordTimestamp=1773762879775) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 16:55:46,509] INFO Deleted log /tmp/kafka-logs/35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-5/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 16:55:46,509] INFO Deleted offset index /tmp/kafka-logs/35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-5/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 16:55:46,509] INFO Deleted time index /tmp/kafka-logs/35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-5/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 16:55:46,511] INFO [LocalLog partition=35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-6, dir=/tmp/kafka-logs/35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-6] Deleting segment files LogSegment(baseOffset=0, size=1169765, lastModifiedTime=1773762881435, largestRecordTimestamp=1773762881431) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 16:55:46,511] INFO Deleted log /tmp/kafka-logs/35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-6/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 16:55:46,511] INFO Deleted offset index /tmp/kafka-logs/35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-6/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 16:55:46,511] INFO Deleted time index /tmp/kafka-logs/35BCC0C14D29B448873CA3A9656D985C6843BFCD4CFF226C0A72367E62DD-6/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
