kafka2-1  | [2026-03-17 16:56:17,484] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=39] [GroupId B855_SimulatorGroup3] Member 148523bc-0d46-4e84-a9ce-fab75c1c88d7 fenced from the group because the member session expired. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 16:56:17,485] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=39] [GroupId B855_SimulatorGroup3] Bumped group epoch to 6 with metadata hash 0. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,004] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Member 125abcf4-2da5-402a-bb62-9048c4e8937d joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,004] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Bumped group epoch to 1 with metadata hash 6166674032760901706. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,005] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,006] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Member da34ea24-0655-4c84-95eb-75486d03a25a joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,006] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Bumped group epoch to 2 with metadata hash 6166674032760901706. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,006] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,152] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Member ef353822-7fa8-4678-b6b9-2bf96113ea25 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,152] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Bumped group epoch to 3 with metadata hash 6166674032760901706. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,152] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,181] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Member 6748d8eb-8f9e-478d-b4fb-a2763dfa02a0 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,181] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Bumped group epoch to 4 with metadata hash 6166674032760901706. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,181] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,182] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Member 53d7730a-1fcb-4497-ae24-9e88842c3415 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,182] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Bumped group epoch to 5 with metadata hash 6166674032760901706. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,182] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Computed a new target assignment for epoch 5 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,233] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Member 3b071689-c8ef-45b1-a3c0-13525bab9ca5 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,233] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Bumped group epoch to 6 with metadata hash 6166674032760901706. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,233] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=19] [GroupId 17F9_SimulatorGroup4] Computed a new target assignment for epoch 6 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,234] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=40] [GroupId 9008_SimulatorGroup5] Member d52768b3-3dac-4892-a4d9-8d7c202d5ab7 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,234] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=40] [GroupId 9008_SimulatorGroup5] Bumped group epoch to 1 with metadata hash 6166674032760901706. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,234] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=40] [GroupId 9008_SimulatorGroup5] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,262] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=40] [GroupId 9008_SimulatorGroup5] Member ffcb237a-d63d-4ff8-b900-6f8b4d467588 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,262] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=40] [GroupId 9008_SimulatorGroup5] Bumped group epoch to 2 with metadata hash 6166674032760901706. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,263] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=40] [GroupId 9008_SimulatorGroup5] Computed a new target assignment for epoch 2 with 'uniform' assignor in 1ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 16:56:17,264] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=40] [GroupId 9008_SimulatorGroup5] Member 0239778a-c7d9-4e85-9a1f-fd610135ea4d joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
