kafka1-1  | [2026-03-17 17:16:24,171] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=1] [GroupId 048B_SimulatorGroup5] Member a8a3a79c-5885-4fbc-81fe-5bb44ff08196 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:24,171] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=1] [GroupId 048B_SimulatorGroup5] Bumped group epoch to 4 with metadata hash 940725590306957638. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:24,172] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=1] [GroupId 048B_SimulatorGroup5] Computed a new target assignment for epoch 4 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:24,253] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=1] [GroupId 048B_SimulatorGroup5] Member 5ccbd2ff-337a-4e18-b2f3-b85a20dca9d5 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:24,253] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=1] [GroupId 048B_SimulatorGroup5] Bumped group epoch to 5 with metadata hash 940725590306957638. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:24,254] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=1] [GroupId 048B_SimulatorGroup5] Computed a new target assignment for epoch 5 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:28,790] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 14B5_SimulatorGroup1] Member 73620270-ba95-4a10-9f66-415e3713b78e left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 17:16:28,791] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=42] [GroupId 08DF_SimulatorGroup2] Member 8b2630d9-05c9-4a25-ba01-9cc4ab64b48e left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 17:16:28,792] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=42] [GroupId 08DF_SimulatorGroup2] Bumped group epoch to 4 with metadata hash -5361186953531837306. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:28,792] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 14B5_SimulatorGroup1] Bumped group epoch to 7 with metadata hash -5361186953531837306. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 17:16:28,889] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=42] [GroupId 08DF_SimulatorGroup2] Member 8bdac223-9b9c-4a82-91a4-342591678a29 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 17:16:28,890] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=42] [GroupId 08DF_SimulatorGroup2] Bumped group epoch to 5 with metadata hash -5361186953531837306. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:28,890] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 14B5_SimulatorGroup1] Member 5870656f-c9f2-4b08-9183-309b1a851630 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:16:28,892] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 14B5_SimulatorGroup1] Bumped group epoch to 8 with metadata hash -5361186953531837306. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka2-1  | [2026-03-17 17:16:28,892] INFO [GroupCoordinator id=3 topic=__consumer_offsets partition=42] [GroupId 08DF_SimulatorGroup2] Member 454f8e93-2197-4779-b2d1-804439bb4c9f left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
