kafka1-1  | [2026-03-17 17:46:49,089] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Member eb3797ac-e1d0-49cd-b21c-63f536100b9e joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,089] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Bumped group epoch to 1 with metadata hash 288652153011385268. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,089] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Computed a new target assignment for epoch 1 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,119] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Member 88cf9594-aa51-48d1-9ded-2880b51020ce joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,119] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Bumped group epoch to 2 with metadata hash 288652153011385268. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,119] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Computed a new target assignment for epoch 2 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,120] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Member 04f59ffd-73ec-4ca1-bfd2-6dcc76fe3ef0 joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,121] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Bumped group epoch to 3 with metadata hash 288652153011385268. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,121] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Computed a new target assignment for epoch 3 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,147] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Member 9f7a227e-8711-43f3-a509-6b5d2724156a joins the consumer group using the consumer protocol. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 17:46:49,148] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=43] [GroupId 7300_SimulatorGroup3] Bumped group epoch to 4 with metadata hash 288652153011385268. (org.apache.kafka.coordinator.group.GroupMetadataManager)
